Business Name,Phone,Name,Address,City,Zip,State,County,Sales Volume,SIC CODE,SIC NAME,NAICS CODE,Min Years In Business,Square Footage,Web Address
LIBERTY TAX SVC,4024039137,,810 TARA PLZ,PAPILLION,68046-2044,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",LIBERTYTAX.COM
"MONASTERO, JULIE",4023978811,JULIE MONASTERO,2407 S 130TH CIR,OMAHA,68144-2528,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"2,500 TO 9,999",
AFFORDABLE TAX  BOOKKEEPING,4025027855,JUANITA WILSON,2422 LAKE ST,OMAHA,68111-3831,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
D  B TAX SVC,7123661964,BONNIE BUSWELL,3504 TWIN CITY DR,COUNCIL BLUFFS,51501-7966,IA,POTTAWATTAMIE,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
THORN GROUP INC,4029531856,DOCY THORN,2109 VINTON ST #32,OMAHA,68108-1861,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
MUNOZ TAX SVC,4029325300,,5601 S 36TH ST,OMAHA,68107-3263,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
FINN SOMER  ASSOC,4029550415,VERN SOMER,10730 PACIFIC ST #231,OMAHA,68114-4761,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
PADGETT BUSINESS SVC,4029913399,,3348 ERNST ST,OMAHA,68112-2601,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
LIBERTY TAX SVC,4028846943,ROBERT MEJIAS,2734 S 123RD CT #165,OMAHA,68144-3950,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",LIBERTYTAX.COM
MANUEL INCOME TAX SVC,4024556077,SHARON KALVELAGE,2505 N 24TH ST #411,OMAHA,68110-2279,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
LIBERTY TAX SVC,4025583379,TIM STEFFES,644 N SADDLE CREEK RD,OMAHA,68132-2500,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",LIBERTYTAX.COM
TAX PROS OF NEBRASKA,4029914900,RICHARD ARNOLD,14891 POLK ST,OMAHA,68137-3966,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
AC TAX  ACCOUNTING,4022912335,CHERYL COULSON,1308 GALVIN RD S,BELLEVUE,68005-3064,NE,SARPY,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
48TH ST INCOME TAX SVC LLC,4025024481,CLEMENTE VELASCO,3811 Q ST,OMAHA,68107-2458,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,,
MONTANEZ TAX SVC,4027336377,JOSE MONTANEZ,4308 1/2 L ST,OMAHA,68107-1074,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
SKILL-TAX LLC,4024531755,DAVID MC CASKILL,5351 N 30TH ST,OMAHA,68111-1609,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",SKILL-TAX.COM
LIBERTY TAX SVC,4028844382,YANNINA STEFFES,3302 Q ST #5,OMAHA,68107-2519,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"2,500 TO 9,999",LIBERTYTAX.COM
LIBERTY TAX SVC,7123522505,CHAD BROWN,2125 W BROADWAY,COUNCIL BLUFFS,51501-3717,IA,POTTAWATTAMIE,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",LIBERTYTAX.COM
"EKSTROM, RICHARD RD",4023431414,RICHARD RD EKSTROM,11602 W CENTER RD,OMAHA,68144-4440,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
TAX TIME,4027332993,GEORGE PLOFKIN,4601 S 50TH ST #307,OMAHA,68117-1355,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",EXPRESSTAXSERVICE.COM
JACKSON HEWITT TAX SVC,4023931040,DIANE LAMB,604 S 72ND ST,OMAHA,68114-4612,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",JACKSONHEWITT.COM
CRUISE  ASSOC,4025586922,LAURA ANDERSON,2808 S 80TH AVE #140,OMAHA,68124-3253,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
AFFORDABLE TAX,4024534077,JUANITA WILSON,2505 N 24TH ST #105,OMAHA,68110-2279,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
MMM TAX SVC,4025710610,MORRIS MCKINNEY,7206 N 69TH CIR,OMAHA,68152-2146,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
METRO BUSINESS  TAX SVC,4023303655,,254 N 114TH ST,OMAHA,68154-2515,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
ACTION TAX  BOOKKEEPING,4023970761,AARON JOHNSON JR,2835 N 81ST ST,OMAHA,68134-6411,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",ACTIONTAX.BIZ
HR BLOCK,4023971040,,11808 MIRACLE HILLS DR,OMAHA,68154-4403,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",HRBLOCK.COM
A PLUS TAX PROS,7122565400,VERN SNIPES,1601 AVENUE D #B,COUNCIL BLUFFS,51501-2510,IA,POTTAWATTAMIE,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
BRENDA INCOME TAX,4027340851,BRENDA BARRAGAN,4532 S 33RD ST,OMAHA,68107-1423,NE,DOUGLAS,Less than $5 million,7291-01,Tax Return Preparation Services,,,"0 TO 2,499",
TALLMAN-SCHEEL TAX SVC,7123237563,ROBERT FRENCH,106 E BROADWAY,COUNCIL BLUFFS,51503-4492,IA,POTTAWATTAMIE,"LESS THAN $500,000",7291-00,TAX RETURN PREPARATION SERVICES,,,,
